indroea;ano_hidr;qci;qci_com;mes_ci;dia_ci;qc;qc_com;mes_c;dia_c
1609;1924;;;;;127;1;2;27
1608;2005;35.814;2;12;3;;;;
1609;1915;;;;;147;1;12;29
1609;1916;;;;;197;1;12;25
1609;1917;;;;;97;1;1;17
1609;1918;;;;;162;1;2;24
1609;1920;;;;;48;1;12;29
1609;1921;;;;;122;1;2;6
1609;1922;;;;;112;1;2;13
1619;1986;122;2;2;17;;;;
1608;2000;;4;12;8;;4;12;8
1809;2010;;;;;46.7;2;1;6
1769;1929;;;;;418;1;12;3
1769;1930;;;;;600;1;1;2
1769;1942;;;;;615;1;12;18
1769;1951;628;1;4;1;;;;
1805;2007;15.59;2;4;21;14.211;2;4;21
1805;2011;18.189;2;5;5;17.221;2;5;5
1805;2012;95.644;2;1;19;82.544;2;1;19
1806;2008;9.941;2;1;23;9.941;2;1;23
1823;2011;;;;;72.819;2;5;9
1809;2009;46.04;2;1;12;35.79;2;12;6
1769;1926;;;;;750;1;2;27
1809;2011;;;;;19.454;2;10;26
1809;2012;;;;;73.385;2;12;14
1809;2013;;;;;51.515;2;12;24
1821;2012;;4;1;19;;4;1;19
1821;2013;;4;2;8;;4;2;8
1821;2016;;2;3;5;;;;
1821;2017;;;;;7.135;2;3;11
1821;2018;;;;;7.349;2;1;31
1753;2008;;;;;105.536;2;1;23
1806;2009;39.75;2;2;24;;;;
1769;1917;;;;;650;1;4;4
1720;2013;4.99;2;3;1;3.459;2;2;8
1763;2007;;;;;3.579;2;4;21
1765;1978;160;2;12;;;;;
1765;1980;88;2;12;;;;;
1765;1988;23;2;4;13;;;;
1765;1996;115;2;11;22;;;;
1765;2008;;;;;28.499;2;1;28
1768;1963;;;;;1304;1;3;21
1769;1913;;;;;1732;1;2;22
1769;1928;;;;;114;1;1;14
1769;1916;;;;;1833;1;12;24
1769;1927;;;;;325;1;3;27
1769;1918;;;;;2027;1;2;23
1769;1919;;;;;418;1;4;12
1769;1920;;;;;166;1;12;29
1769;1921;;;;;483;1;1;30
1769;1922;;;;;522;1;3;1
1769;1923;844;1;3;26;;;;
1769;1924;;;;;600;1;2;27
1769;1925;800;1;11;8;;;;
1823;2013;;;;;245.863;2;2;8
1769;1915;;;;;910;1;12;8
1928;1915;;;;;;4;;
1832;2013;;;;;0.06;2;9;22
1832;2015;;;;;42.89;2;2;12
1832;2017;;;;;17.754;2;3;25
1833;2011;;;;;21.666;2;4;19
1833;2015;;;;;23.376;2;2;12
1835;2015;;2;2;12;;2;2;12
1835;2016;;2;2;4;;2;2;6
1836;2016;;2;2;4;;;;
1821;2020;;;;;;4;2;10
1837;2017;88.422;2;4;20;80.765;2;4;21
1831;2011;13.93;2;5;5;;;;
1928;1916;;;;;;4;;
1928;1917;;;;;;4;;
1928;1918;;;;;;4;;
1928;1919;;;;;;4;;
1928;1920;;;;;;4;;
1928;1921;;;;;;4;;
1928;1923;;;;;;4;;
1942;1951;;;;;12.6;2;4;1
1942;1955;;;;;110;1;12;15
1837;2012;153.51;2;1;19;116.47;2;2;1
1827;2016;;2;2;5;;2;2;5
1825;2015;;2;2;13;;2;2;13
1825;2016;;2;12;16;;2;2;3
1825;2017;;2;3;3;;2;3;15
1825;2019;3.32;2;12;22;;2;12;21
1825;2020;;4;12;16;;4;2;10
1826;2015;;2;2;13;;2;2;13
