ref_ceh;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
1402;196905;;0;0;0;;1;0;;1;1
1402;196906;;0;0;0;;1;0;;1;1
1402;196907;;0;0;0;;1;0;;1;1
1402;196908;;0;0;0;;1;0;;1;1
1402;196909;;0;0;0;;1;0;;1;1
1402;196910;;0;0;0;;1;0;;1;1
1402;196911;;0;0;0;;1;0;;1;1
1402;196912;;0;0;0;;1;0;;1;1
1402;197001;;0;0;0;;1;0;;1;1
1402;197002;;0;0;0;;1;0;;1;1
1402;197003;;0;0;0;;1;0;;1;1
1402;197004;;0;0;0;;1;0;;1;1
1402;197005;;0;0;0;;1;0;;1;1
1402;197006;;0;0;0;;1;0;;1;1
1402;197007;;0;0;0;;1;0;;1;1
1402;197008;;0;0;0;;1;0;;1;1
1402;197009;;0;0;0;;1;0;;1;1
1402;197010;;0;0;0;;1;0;;1;1
1402;197011;;0;0;0;;1;0;;1;1
1402;197012;;0;0;0;;1;0;;1;1
1402;197101;;0;0;0;;1;0;;1;1
1402;197102;;0;0;0;;1;0;;1;1
1402;197103;;0;0;0;;1;0;;1;1
1402;197104;;0;0;0;;1;0;;1;1
1402;197105;;0;0;0;;1;0;;1;1
1402;197106;;0;0;0;;1;0;;1;1
1402;197107;;0;0;0;;1;0;;1;1
1402;197108;;0;0;0;;1;0;;1;1
1402;197109;;0;0;0;;1;0;;1;1
1402;197110;;0;0;0;;1;0;;1;1
1402;197111;;0;0;0;;1;0;;1;1
1402;197112;;0;0;0;;1;0;;1;1
1402;197201;;0;0;0;;1;0;;1;1
1402;197202;;0;0;0;;1;0;;1;1
1402;197203;;0;0;0;;1;0;;1;1
1402;197204;;0;0;0;;1;0;;1;1
1402;197205;;0;0;0;;1;0;;1;1
1402;197206;;0;0;0;;1;0;;1;1
1402;197207;;0;0;0;;1;0;;1;1
1402;197208;;0;0;0;;1;0;;1;1
1402;197209;;0;0;0;;1;0;;1;1
1402;197210;;0;0;0;;1;0;;1;1
1402;197211;;0;0;0;;1;0;;1;1
1402;197212;;0;0;0;;1;0;;1;1
1402;197301;;0;0;0;;1;0;;1;1
1402;197302;;0;0;0;;1;0;;1;1
1402;197303;;0;0;0;;1;0;;1;1
1402;197304;;0;0;0;;1;0;;1;1
1402;197305;;0;0;0;;1;0;;1;1
1402;197306;;0;0;0;;1;0;;1;1
1402;197307;;0;0;0;;1;0;;1;1
1402;197308;;0;0;0;;1;0;;1;1
1402;197309;;0;0;0;;1;0;;1;1
1402;197310;;0;0;0;;1;0;;1;1
1402;197311;;0;0;0;;1;0;;1;1
1402;197312;;0;0;0;;1;0;;1;1
1402;197401;;0;0;0;;1;0;;1;1
1402;197402;;0;0;0;;1;0;;1;1
1402;197403;;0;0;0;;1;0;;1;1
1402;197404;;0;0;0;;1;0;;1;1
1402;197405;;0;0;0;;1;0;;1;1
1402;197406;;0;0;0;;1;0;;1;1
1402;197407;;0;0;0;;1;0;;1;1
1402;197408;;0;0;0;;1;0;;1;1
1402;197409;;0;0;0;;1;0;;1;1
1402;197410;;0;0;0;;1;0;;1;1
1402;197411;;0;0;0;;1;0;;1;1
1402;197412;;0;0;0;;1;0;;1;1
1402;197501;;0;0;0;;1;0;;1;1
1402;197502;;0;0;0;;1;0;;1;1
1402;197503;;0;0;0;;1;0;;1;1
1402;197504;;0;0;0;;1;0;;1;1
1402;197505;;0;0;0;;1;0;;1;1
1402;197506;;0;0;0;;1;0;;1;1
1402;197507;;0;0;0;;1;0;;1;1
1402;197508;;0;0;0;;1;0;;1;1
1402;197509;;0;0;0;;1;0;;1;1
1402;197510;;0;0;0;;1;0;;1;1
1402;197511;;0;0;0;;1;0;;1;1
1402;197512;;0;0;0;;1;0;;1;1
1402;197601;;0;0;0;;1;0;;1;1
1402;197602;;0;0;0;;1;0;;1;1
1402;197603;;0;0;0;;1;0;;1;1
1402;197604;;0;0;0;;1;0;;1;1
1402;197605;;0;0;0;;1;0;;1;1
1402;197606;;0;0;0;;1;0;;1;1
1402;197607;;0;0;0;;1;0;;1;1
1402;197608;;0;0;0;;1;0;;1;1
1402;197609;;0;0;0;;1;0;;1;1
1402;197610;;0;0;0;;1;0;;1;1
1402;197611;;0;0;0;;1;0;;1;1
1402;197612;;0;0;0;;1;0;;1;1
1402;197701;;0;0;0;;1;0;;1;1
1402;197702;;7.113;17.207;71.99;;20;0;;1;1
1402;197703;;0;0;0;;1;0;;1;1
1402;197704;;0;0;0;;1;0;;1;1
1402;197705;;0;0;0;;1;0;;1;1
1402;197706;;0;0;0;;1;0;;1;1
1402;197707;;0;0;0;;1;0;;1;1
1402;197708;;0;0;0;;1;0;;1;1
1402;197709;;0;0;0;;1;0;;1;1
1402;197710;;0;0;0;;1;0;;1;1
1402;197711;;0;0;0;;1;0;;1;1
1402;197712;;0;0;0;;1;0;;1;1
1402;197801;;0;0;0;;1;0;;1;1
1402;197802;;11.563;27.972;78.64;;25;0;;1;1
1402;197803;;2;5.357;27.74;;3;0;;5;1
1402;197804;;0;0;0;;1;0;;1;1
1402;197805;;0;0;0;;1;0;;1;1
1402;197806;;0;0;0;;1;0;;1;1
1402;197807;;0;0;0;;1;0;;1;1
1402;197808;;0;0;0;;1;0;;1;1
1402;197809;;0.116;0.302;3.49;;23;0;;1;1
