indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
1769;1924;1925;;;;;;;600;VALOR COMPLETADO;2;27
1769;1925;1926;;800;VALOR COMPLETADO;11;8;;;;;
1823;2013;2014;323.86;;;;;;245.863;INCOMPLETO CON VALOR ALTO;2;8
1769;1915;1916;;;;;;;910;VALOR COMPLETADO;12;8
1928;1915;1916;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1832;2013;2014;;;;;;;0.06;INCOMPLETO CON VALOR ALTO;9;22
1832;2015;2016;66.13;;;;;;42.89;INCOMPLETO CON VALOR ALTO;2;12
1832;2017;2018;23.482;;;;;;17.754;INCOMPLETO CON VALOR ALTO;3;25
1833;2011;2012;24.83;;;;;;21.666;INCOMPLETO CON VALOR ALTO;4;19
1833;2015;2016;28.24;;;;;;23.376;INCOMPLETO CON VALOR ALTO;2;12
1835;2015;2016;;;INCOMPLETO CON VALOR ALTO;2;12;;;INCOMPLETO CON VALOR ALTO;2;12
1835;2016;2017;;;INCOMPLETO CON VALOR ALTO;2;4;;;INCOMPLETO CON VALOR ALTO;2;6
1836;2016;2017;;;INCOMPLETO CON VALOR ALTO;2;4;7.437;;;;
1821;2020;2021;203.125;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;10
1837;2017;2018;;88.422;INCOMPLETO CON VALOR ALTO;4;20;;80.765;INCOMPLETO CON VALOR ALTO;4;21
1831;2011;2012;;13.93;INCOMPLETO CON VALOR ALTO;5;5;12.368;;;;
1928;1916;1917;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1928;1917;1918;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1928;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1928;1919;1920;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1928;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1928;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1928;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1942;1951;1952;18.15;;;;;;12.6;INCOMPLETO CON VALOR ALTO;4;1
1942;1955;1956;;;;;;;110;VALOR COMPLETADO;12;15
1837;2012;2013;;153.51;INCOMPLETO CON VALOR ALTO;1;19;;116.47;INCOMPLETO CON VALOR ALTO;2;1
1827;2016;2017;;;INCOMPLETO CON VALOR ALTO;2;5;;;INCOMPLETO CON VALOR ALTO;2;5
1825;2015;2016;;;INCOMPLETO CON VALOR ALTO;2;13;;;INCOMPLETO CON VALOR ALTO;2;13
1825;2016;2017;;;INCOMPLETO CON VALOR ALTO;12;16;;;INCOMPLETO CON VALOR ALTO;2;3
1825;2017;2018;;;INCOMPLETO CON VALOR ALTO;3;3;;;INCOMPLETO CON VALOR ALTO;3;15
1825;2019;2020;;3.32;INCOMPLETO CON VALOR ALTO;12;22;;;INCOMPLETO CON VALOR ALTO;12;21
1825;2020;2021;;;GRAN CRECIDA CON DATO DE ALTURA;12;16;;;GRAN CRECIDA CON DATO DE ALTURA;2;10
1826;2015;2016;;;INCOMPLETO CON VALOR ALTO;2;13;;;INCOMPLETO CON VALOR ALTO;2;13
