indroea;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
1010;195001;-0.05;8.968;24.019;10;-0.02;5;8;-0.08;27;1
1010;195002;0.06;13.489;32.633;20.6;0.2;25;8;-0.08;1;1
1010;195003;0.08;14.6;39.105;16.2;0.12;1;12.6;0.04;14;1
1010;195004;0.04;12.6;32.659;14.3;0.08;1;11.7;0.02;19;1
1010;195005;-0.03;9.674;25.911;11.2;0;1;7.3;-0.1;9;1
1010;195006;-0.01;10.697;27.726;15.7;0.1;12;7.3;-0.1;29;1
1010;195007;-0.14;6.155;16.485;7.3;-0.1;3;5.5;-0.16;16;1
1010;195008;-0.25;3.445;9.228;4.7;-0.2;1;2.9;-0.28;20;1
1010;195009;-0.28;2.863;7.422;3.5;-0.24;11;2.4;-0.32;27;1
1010;195010;-0.23;3.823;10.238;4.7;-0.2;6;2.9;-0.28;1;1
1010;195011;0.01;13.837;35.865;49.9;0.6;27;3.1;-0.26;6;1
1010;195012;0.22;22.097;59.184;33.5;0.4;22;15.7;0.1;2;1
1010;195101;0.44;38.406;102.868;85.7;0.94;16;19.5;0.18;1;1
1010;195102;0.73;66.636;161.205;160.2;1.42;19;25.2;0.28;1;1
1010;195103;0.79;72.39;193.89;149.5;1.36;19;44.3;0.54;9;1
1010;195104;0.45;37.19;96.396;44.3;0.54;1;29;0.34;30;1
1010;195105;0.31;27.187;72.818;41.3;0.5;24;22.9;0.24;29;1
1010;195106;0.2;20.903;54.181;30.3;0.36;5;13.4;0.06;27;1
1010;195107;-0.09;7.932;21.246;12.6;0.04;1;5;-0.18;29;1
1010;195108;-0.24;3.584;9.599;5;-0.18;1;2.6;-0.3;29;1
1010;195109;-0.32;2.31;5.988;2.6;-0.3;1;2.1;-0.34;6;1
1010;195110;-0.3;2.655;7.111;3.5;-0.24;31;2.1;-0.34;1;1
1010;195111;0.19;21.987;56.989;83.2;0.92;18;4.7;-0.2;1;1
1010;195112;0;11.123;29.791;18.3;0.16;28;6.6;-0.12;16;1
1010;195201;0.14;17.745;47.529;36.2;0.44;12;15.7;0.1;4;1
1010;195202;0.09;15.334;38.422;25.2;0.28;4;11.7;0.02;26;1
1010;195203;0.11;16.126;43.191;36.3;0.44;31;9.4;-0.04;7;1
1010;195204;0.16;19.103;49.516;37.8;0.46;1;11.2;0;29;1
1010;195205;0.05;13.139;35.191;20.6;0.2;5;10;-0.02;1;1
1010;195206;-0.13;6.51;16.874;10;-0.02;1;4;-0.22;24;1
1010;195207;-0.16;5.523;14.792;6.6;-0.12;19;5;-0.18;1;1
